barcode,brand,product,bv
9328786002058,Kiewa,Chocolate Flavoured Milk,No
9332930000036,Maleny,Farmers Choice Guernsey Milk,No
9332930000043,Maleny,Low Fat Milk,No
9332930000050,Maleny,Full Cream Milk,No
9332930000067,Maleny,Dairy Milk Guernsey,No
9332930000074,Maleny,Low Fat 98% Fat Free Milk,No
9332930000081,Maleny,Full Cream Milk,No
9332930000456,Maleny,Natural Yoghurt,No
9332930000463,Maleny,Strawberry Yoghurt,No
9332930000470,Maleny,Apricot Yoghurt,No
9332930000111,Maleny Dairies,Low Fat Milk,No
9332930000128,Maleny Dairies,Full Cream Milk,No
9332930000555,Maleny Dairies,Maleny Dairies Lactose Free Full Cream Milk 2l,No
9332930000579,Maleny Dairies,Maleny Dairies Sour Cream 300ml,No
9332930000593,Maleny Dairies,Maleny Dairies Pure Cream 300ml,No
9328808005500,Misty Mountain Farms,Full Cream Jersey Milk,No
9328808005517,Misty Mountain Farms,Low Fat Jersey Milk,No
9328808005531,Misty Mountain Farms,Lactose Free Full Cream Jersey Milk,No
9310272001560,Norco,Norco Real Triple Shot 750ml,No
9310272002253,Norco,Non Homogenised Finest Milk,No
9310272002260,Norco,Finest Full Cream Milk,No
9310272002482,Norco,Norco Minecraft Flavoured Milk Chocolate 375mL,No
9310272002499,Norco,Norco Minecraft Flavoured Milk Strawberry 375mL,No
9310272002932,Norco,Norco Real Iced Latte Caramel 500ml,No
9310272004110,Norco,Norco Real No Added Sugar Coffee Double Shot 500ml,No
9310272006213,Norco,Norco Original Real Iced Coffee 750ml,No
9310272006244,Norco,Original Iced Coffee,No
9310272006251,Norco,Double Shot Real Iced Coffee Flavoured Milk,No
9310272006299,Norco,Non Homogenised Full Cream Milk,No
9310272006312,Norco,Chocolate Flavoured Milk,No
9310272006329,Norco,Norco Real Iced Chocolate Ultimate 750ml,No
9310272007142,Norco,Triple Shot Iced Coffee,No
9310272008941,Norco,Lactose Free Lite Milk,No
9310272008965,Norco,Pure Jersey Milk,No
9310272009801,Norco,Norco Elbo Style Cheese Block 500g,No
9310272009917,Norco,Lactose Free Full Cream Milk,No
9310272009924,Norco,Norco Lactose Free Lite Milk 2L,No
9310272019824,Norco,Norco Elbo Style Cheese Slices 250g,No
9310272022503,Norco,Norco Minecraft Flavoured Milk Caramel 375mL,No
9310272135388,Norco,Capo High Protein Cafe Milk,No
9310272360568,Norco,Norco Full Cream Milk 1l,No
9310272361275,Norco,Low Fat Milk,No
9310272361404,Norco,Norco Lite Milk 3l,No
9310272361565,Norco,Lite Milk,No
9310272366089,Norco,Super Skim Milk,No
9310272369165,Norco,Perfect Organic Milk,No
9310272393191,Norco,Dairy Cream Pure Fresh,No
9311272400025,Norco,Full Cream Milk,No
9322042000048,Norco,Full Cream Milk,No
9322042000109,Norco,Full Cream Milk,No
9322042000185,Norco,Dairy Cream Sour,No
9322042000406,Norco,Full Cream Milk,No
9341661003025,Norco,Natural Dairy Cheese Slices 12 Pack,No
9341661345187,Norco,Natural Cheese Block,No
9310272003908,Norco,Full cream milk 3L,No
0,Morgans Meadow Paddock to Plate,All beef products,No
0,Stapleton's Quality Meats,All beef products,No